ThesName;KeyName_de;KeyName_en;AbsolutePath
ÖFOS;105124 Tektonik;105124 Tectonics;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105125 Petrophysik;105125 Petrophysics;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105126 Angewandte Geophysik;105126 Applied geophysics;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105127 Geochronologie;105127 Geochronology;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;1052 Meteorologie, Klimatologie;1052 Meteorologie, Klimatologie;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften
ÖFOS;105201 Aeronomie;105201 Aeronomy;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1052 Meteorologie, Klimatologie
ÖFOS;105202 Agrarmeteorologie;105202 Agricultural meteorology ;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1052 Meteorologie, Klimatologie
ÖFOS;105203 Bioklimatologie;105203 Bioclimatology;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1052 Meteorologie, Klimatologie
ÖFOS;105204 Klimatologie;105204 Climatology;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1052 Meteorologie, Klimatologie
ÖFOS;105205 Klimawandel;105205 Climate change;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1052 Meteorologie, Klimatologie
ÖFOS;105206 Meteorologie;105206 Meteorology;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1052 Meteorologie, Klimatologie
ÖFOS;105207 Gebirgsmeteorologie;105207 Mountain meteorology;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1052 Meteorologie, Klimatologie
ÖFOS;1053 Hydrologie;1053 Hydrologie;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften
ÖFOS;105301 GewÖsserschutz;105301 Water protection;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1053 Hydrologie
ÖFOS;105302 Hydrochemie;105302 Hydrochemistry;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1053 Hydrologie
ÖFOS;105303 Hydrogeologie;105303 Hydrogeology;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1053 Hydrologie
ÖFOS;105304 Hydrologie;105304 Hydrology;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1053 Hydrologie
ÖFOS;105305 Hydrometrie;105305 Hydrometry;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1053 Hydrologie
ÖFOS;105306 Ozeanographie;105306 Oceanography;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1053 Hydrologie
ÖFOS;105307 WassergÖte;105307 Water quality;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1053 Hydrologie
ÖFOS;105308 Wasserressourcen;105308 Water resources;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1053 Hydrologie
ÖFOS;1054 Physische Geographie;1054 Physische Geographie;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften
ÖFOS;105401 Biogeographie;105401 Biogeography;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1054 Physische Geographie
ÖFOS;105402 Bodengeographie;105402 Soil geography;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1054 Physische Geographie
ÖFOS;105403 Geoinformatik;105403 Geoinformatics;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1054 Physische Geographie
ÖFOS;105404 Geomorphologie;105404 Geomorphology;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1054 Physische Geographie
ÖFOS;105405 GeoÖkologie;105405 Geoecology;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1054 Physische Geographie
ÖFOS;105406 Geschichte der Geographie;105406 History of geography;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1054 Physische Geographie
ÖFOS;105407 Kartographie;105407 Cartography;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1054 Physische Geographie
ÖFOS;105408 Physische Geographie;105408 Physical geography;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1054 Physische Geographie
ÖFOS;105409 Topographie;105409 Topography;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1054 Physische Geographie
ÖFOS;1059 Sonstige und interdisziplinÖre Geowissenschaften;1059 Sonstige und interdisziplinÖre Geowissenschaften;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften
ÖFOS;105901 Glaziologie;105901 Glaciology;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1059 Sonstige und interdisziplinÖre Geowissenschaften
ÖFOS;105902 Naturgefahren;105902 Natural hazards;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1059 Sonstige und interdisziplinÖre Geowissenschaften
ÖFOS;105903 SpelÖologie;105903 Speleology;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1059 Sonstige und interdisziplinÖre Geowissenschaften
ÖFOS;105904 Umweltforschung;105904 Environmental research;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1059 Sonstige und interdisziplinÖre Geowissenschaften
ÖFOS;105905 Umweltschutz;105905 Environmental protection;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1059 Sonstige und interdisziplinÖre Geowissenschaften
ÖFOS;105906 Umweltgeowissenschaften;105906 Environmental geosciences;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1059 Sonstige und interdisziplinÖre Geowissenschaften
ÖFOS;106 Biologie;106 Biologie;1 - NATURWISSENSCHAFTEN
ÖFOS;1060 Biologie;1060 Biologie;1 - NATURWISSENSCHAFTEN/106 Biologie
